category,color,date,month,price,region,revenue,sales_units,season,social_engagement,style,year
Dresses,Black,2023-07-09,7,283,Europe,116313,411,Summer,24756,Minimalist,2023
Bags,Blue,2023-04-11,4,484,Asia,394944,816,Spring,35338,Preppy,2023
Pants,Green,2023-11-24,11,428,Australia,229408,536,Fall,18540,Athletic,2023
Shoes,Navy,2023-08-29,8,490,Australia,582120,1188,Summer,16558,Preppy,2023
Bags,Yellow,2024-05-25,5,405,Europe,252315,623,Spring,7336,Bohemian,2024
Bags,Blue,2023-11-20,11,57,Australia,53352,936,Fall,9187,Punk,2023
Jewelry,Pink,2024-01-20,1,424,Australia,496080,1170,Winter,41838,Streetwear,2024
Outerwear,Beige,2023-02-09,2,456,Australia,248064,544,Winter,20262,Grunge,2023
Skirts,Black,2023-06-04,6,275,North America,276925,1007,Summer,43921,Streetwear,2023
Shoes,Blue,2023-01-22,1,488,Asia,539240,1105,Winter,28886,Streetwear,2023
Dresses,Beige,2023-11-07,11,451,North America,83886,186,Fall,45680,Formal,2023
Outerwear,Red,2023-12-30,12,72,Europe,97848,1359,Winter,38047,Casual,2023
Tops,Green,2023-11-20,11,183,Europe,109251,597,Fall,14809,Athletic,2023
Dresses,Blue,2024-06-22,6,135,Europe,48330,358,Summer,32796,Minimalist,2024
Outerwear,Navy,2024-03-07,3,372,Europe,372744,1002,Spring,4466,Vintage,2024
Outerwear,Pink,2024-02-12,2,278,North America,457866,1647,Winter,19320,Minimalist,2024
Skirts,Gray,2024-07-17,7,450,Australia,426150,947,Summer,5008,Streetwear,2024
Dresses,White,2024-03-31,3,498,Asia,598596,1202,Spring,41861,Streetwear,2024
Skirts,Purple,2024-07-04,7,116,North America,65424,564,Summer,40657,Preppy,2024
Accessories,Blue,2023-01-09,1,102,Asia,88026,863,Winter,15561,Minimalist,2023
Accessories,White,2023-02-05,2,322,Asia,276276,858,Winter,15065,Casual,2023
Tops,Purple,2024-09-11,9,267,Asia,285423,1069,Fall,3000,Casual,2024
Outerwear,Orange,2023-03-01,3,369,Asia,363465,985,Spring,31632,Bohemian,2023
Shoes,Purple,2023-01-26,1,195,South America,164385,843,Winter,27509,Preppy,2023
Dresses,Beige,2023-08-13,8,49,Asia,24598,502,Summer,32870,Grunge,2023
Tops,Blue,2023-03-25,3,179,Europe,146601,819,Spring,33101,Bohemian,2023
Accessories,Navy,2023-01-19,1,315,Australia,82845,263,Winter,13877,Minimalist,2023
Bags,Beige,2023-03-22,3,89,Europe,32307,363,Spring,9052,Athletic,2023
Accessories,Black,2024-03-08,3,67,South America,48508,724,Spring,36665,Bohemian,2024
Accessories,Orange,2023-01-20,1,141,South America,108711,771,Winter,34751,Bohemian,2023
Jewelry,Purple,2023-02-06,2,126,South America,60480,480,Winter,30261,Formal,2023
Jewelry,Purple,2024-02-07,2,146,North America,52122,357,Winter,41984,Grunge,2024
Shoes,Gray,2023-12-07,12,243,Europe,224532,924,Winter,45531,Preppy,2023
Tops,Blue,2024-06-08,6,452,South America,647264,1432,Summer,32768,Vintage,2024
Jewelry,Purple,2024-02-15,2,124,North America,28892,233,Winter,43370,Grunge,2024
Accessories,Gray,2024-12-31,12,251,North America,141815,565,Winter,49582,Streetwear,2024
Dresses,Navy,2023-05-06,5,113,Australia,53901,477,Spring,1117,Punk,2023
Accessories,Blue,2024-02-09,2,243,Europe,73629,303,Winter,29020,Punk,2024
Shoes,Red,2023-05-25,5,135,South America,127980,948,Spring,33359,Bohemian,2023
Jewelry,Yellow,2023-12-27,12,25,Asia,29650,1186,Winter,42050,Minimalist,2023
Accessories,Purple,2024-11-30,11,498,Australia,480570,965,Fall,1528,Punk,2024
Tops,White,2023-10-11,10,231,South America,158697,687,Fall,3859,Casual,2023
Skirts,Gray,2024-12-06,12,323,Asia,312341,967,Winter,45481,Minimalist,2024
Tops,Navy,2024-09-25,9,344,South America,123152,358,Fall,44018,Casual,2024
Tops,Red,2023-04-17,4,238,Australia,133518,561,Spring,30882,Punk,2023
Skirts,Gray,2024-07-20,7,466,Asia,67104,144,Summer,40929,Vintage,2024
Pants,Navy,2024-05-03,5,25,Australia,21600,864,Spring,28976,Streetwear,2024
Dresses,Beige,2024-05-14,5,94,Australia,87514,931,Spring,9158,Preppy,2024
Jewelry,Purple,2023-03-26,3,484,Australia,216832,448,Spring,11650,Casual,2023
Shoes,Green,2024-03-03,3,33,Europe,16368,496,Spring,33948,Punk,2024
Dresses,Purple,2023-04-06,4,291,North America,112326,386,Spring,16349,Casual,2023
Shoes,Red,2024-10-17,10,55,North America,26675,485,Fall,18322,Athletic,2024
Pants,Navy,2024-08-26,8,108,Asia,93636,867,Summer,14355,Streetwear,2024
Dresses,Purple,2023-09-09,9,294,Australia,72618,247,Fall,22799,Casual,2023
Jewelry,Purple,2024-03-04,3,32,North America,31264,977,Spring,33675,Punk,2024
Outerwear,Red,2023-12-26,12,315,South America,146160,464,Winter,42080,Minimalist,2023
Skirts,Green,2024-10-13,10,258,Europe,65016,252,Fall,19386,Athletic,2024
Bags,Pink,2024-02-02,2,406,South America,227360,560,Winter,34087,Bohemian,2024
Dresses,Beige,2024-02-04,2,223,Australia,170372,764,Winter,45947,Bohemian,2024
Shoes,Black,2024-12-06,12,32,South America,18880,590,Winter,24628,Grunge,2024
Accessories,Black,2023-01-05,1,77,Europe,62216,808,Winter,38628,Streetwear,2023
Shoes,Yellow,2024-04-09,4,129,Europe,99717,773,Spring,40867,Bohemian,2024
Tops,Red,2023-05-20,5,296,North America,327968,1108,Spring,46567,Streetwear,2023
Shoes,White,2024-05-12,5,483,South America,229908,476,Spring,10682,Vintage,2024
Dresses,Navy,2024-10-26,10,496,North America,194432,392,Fall,20625,Grunge,2024
Accessories,Beige,2023-06-17,6,383,South America,75451,197,Summer,24092,Athletic,2023
Jewelry,Blue,2023-10-22,10,396,Asia,171072,432,Fall,33092,Casual,2023
Pants,Yellow,2024-12-05,12,282,Asia,219396,778,Winter,2776,Athletic,2024
Skirts,Beige,2023-12-02,12,349,Australia,261750,750,Winter,2188,Athletic,2023
Shoes,Black,2023-07-16,7,122,South America,47214,387,Summer,25771,Grunge,2023
Accessories,Beige,2023-08-12,8,363,Europe,360459,993,Summer,34225,Grunge,2023
Pants,White,2024-07-19,7,39,Europe,6357,163,Summer,35645,Punk,2024
Bags,Yellow,2023-08-21,8,212,Asia,200552,946,Summer,48509,Vintage,2023
Dresses,Orange,2024-06-21,6,268,North America,234768,876,Summer,3782,Bohemian,2024
Pants,Pink,2024-03-29,3,178,Australia,22606,127,Spring,40781,Formal,2024
Tops,Beige,2024-06-09,6,142,Asia,21868,154,Summer,25638,Grunge,2024
Bags,Beige,2024-08-22,8,140,South America,54600,390,Summer,6264,Punk,2024
Tops,Yellow,2024-03-18,3,277,Asia,156228,564,Spring,36537,Punk,2024
Pants,Blue,2024-03-23,3,318,Asia,169176,532,Spring,5141,Vintage,2024
Dresses,Green,2023-01-05,1,345,Australia,321540,932,Winter,24034,Athletic,2023
Pants,Black,2023-08-02,8,147,Europe,142296,968,Summer,11785,Casual,2023
Skirts,White,2023-08-26,8,310,Europe,182900,590,Summer,7380,Athletic,2023
Bags,Red,2023-10-04,10,91,Australia,43862,482,Fall,37090,Punk,2023
Pants,Navy,2024-02-26,2,367,Asia,180931,493,Winter,43045,Bohemian,2024
Tops,Black,2024-02-29,2,238,Europe,180166,757,Winter,20605,Grunge,2024
Accessories,Gray,2023-06-06,6,260,Europe,179920,692,Summer,32202,Streetwear,2023
Skirts,Blue,2023-09-02,9,267,Europe,153792,576,Fall,35235,Punk,2023
Tops,Navy,2024-04-20,4,60,Australia,65220,1087,Spring,12219,Vintage,2024
Accessories,Red,2023-08-27,8,21,Europe,7644,364,Summer,5604,Bohemian,2023
Outerwear,Green,2023-02-09,2,52,Australia,58656,1128,Winter,33048,Grunge,2023
Pants,Yellow,2023-03-18,3,228,South America,85272,374,Spring,18362,Punk,2023
Dresses,Black,2024-10-03,10,121,South America,34243,283,Fall,32781,Grunge,2024
Tops,Blue,2024-05-12,5,69,Europe,60789,881,Spring,14131,Vintage,2024
Dresses,Orange,2024-09-26,9,198,Australia,235224,1188,Fall,39168,Casual,2024
Dresses,Orange,2024-04-01,4,286,South America,308022,1077,Spring,9204,Casual,2024
Outerwear,Beige,2023-10-25,10,469,Australia,67536,144,Fall,3752,Preppy,2023
Skirts,Navy,2023-04-29,4,406,Europe,123018,303,Spring,24532,Formal,2023
Bags,Red,2023-09-16,9,343,Europe,322763,941,Fall,41396,Bohemian,2023
Tops,Yellow,2023-08-22,8,152,South America,33440,220,Summer,47406,Vintage,2023
Accessories,Beige,2023-06-01,6,216,Australia,49896,231,Summer,6740,Streetwear,2023
Outerwear,Green,2024-10-04,10,100,North America,69900,699,Fall,11476,Casual,2024
Pants,Purple,2024-10-19,10,261,North America,287883,1103,Fall,18081,Streetwear,2024
Dresses,Purple,2023-04-07,4,346,Europe,340464,984,Spring,49650,Casual,2023
Skirts,Gray,2024-07-12,7,197,Asia,129429,657,Summer,7702,Bohemian,2024
Dresses,Red,2023-11-26,11,230,South America,190210,827,Fall,39272,Formal,2023
Accessories,Navy,2023-08-07,8,332,Europe,219120,660,Summer,38028,Vintage,2023
Pants,Orange,2024-01-16,1,138,South America,30498,221,Winter,38378,Vintage,2024
Jewelry,Yellow,2023-08-03,8,239,Asia,91298,382,Summer,30895,Athletic,2023
Dresses,Pink,2024-12-30,12,286,Australia,304018,1063,Winter,17680,Streetwear,2024
Pants,Red,2024-10-25,10,32,North America,25568,799,Fall,4673,Punk,2024
Outerwear,Black,2024-07-25,7,64,Australia,29184,456,Summer,25500,Punk,2024
Tops,Black,2024-09-13,9,294,Asia,224616,764,Fall,14899,Athletic,2024
Outerwear,Purple,2023-05-28,5,275,North America,69025,251,Spring,4659,Punk,2023
Pants,Yellow,2024-01-03,1,79,Asia,30889,391,Winter,24736,Casual,2024
Outerwear,Orange,2024-12-14,12,301,Europe,447888,1488,Winter,49520,Vintage,2024
Accessories,Yellow,2023-07-08,7,215,Europe,164475,765,Summer,43703,Vintage,2023
Accessories,Purple,2024-08-08,8,470,Australia,226540,482,Summer,6877,Punk,2024
Skirts,Blue,2023-07-30,7,36,North America,28656,796,Summer,28772,Casual,2023
Pants,Beige,2024-02-24,2,290,Australia,153410,529,Winter,21850,Punk,2024
Accessories,Brown,2023-04-02,4,118,Australia,99356,842,Spring,5155,Athletic,2023
Dresses,Yellow,2023-05-05,5,90,North America,89280,992,Spring,3932,Preppy,2023
Skirts,White,2024-04-30,4,329,South America,185227,563,Spring,8101,Streetwear,2024
Tops,White,2024-10-10,10,266,Asia,79800,300,Fall,36977,Athletic,2024
Outerwear,Purple,2023-01-16,1,98,North America,39788,406,Winter,11324,Preppy,2023
Skirts,Brown,2024-09-09,9,113,Europe,81247,719,Fall,23231,Bohemian,2024
Accessories,Brown,2023-11-14,11,190,North America,86830,457,Fall,23031,Punk,2023
Accessories,Green,2023-09-08,9,307,Australia,202927,661,Fall,42816,Minimalist,2023
Skirts,Yellow,2023-04-15,4,214,Europe,182328,852,Spring,34713,Grunge,2023
Accessories,Gray,2023-09-29,9,217,Europe,70742,326,Fall,22864,Bohemian,2023
Tops,Beige,2023-10-30,10,272,North America,271184,997,Fall,36795,Grunge,2023
Pants,Yellow,2024-01-09,1,491,Australia,100655,205,Winter,36488,Punk,2024
Dresses,Brown,2024-08-08,8,332,Europe,254976,768,Summer,31990,Casual,2024
Bags,Blue,2024-04-13,4,411,Europe,462375,1125,Spring,14354,Minimalist,2024
Pants,Beige,2023-05-16,5,373,Australia,41403,111,Spring,27642,Punk,2023
Bags,Orange,2023-04-04,4,66,North America,56364,854,Spring,38027,Formal,2023
Bags,Orange,2024-09-11,9,386,Europe,167138,433,Fall,44724,Vintage,2024
Tops,Pink,2023-06-07,6,482,Australia,452598,939,Summer,22743,Preppy,2023
Shoes,Green,2024-10-31,10,132,South America,154440,1170,Fall,10823,Casual,2024
Shoes,Blue,2023-05-11,5,230,Asia,41170,179,Spring,23242,Bohemian,2023
Accessories,Green,2024-08-25,8,147,Australia,105693,719,Summer,39743,Athletic,2024
Shoes,White,2024-07-07,7,390,Europe,74100,190,Summer,49428,Minimalist,2024
Dresses,Yellow,2024-08-11,8,413,Europe,202783,491,Summer,45993,Streetwear,2024
Pants,Gray,2024-10-24,10,155,South America,69750,450,Fall,48200,Grunge,2024
Accessories,Black,2023-02-01,2,171,Australia,68913,403,Winter,3919,Bohemian,2023
Tops,Gray,2024-05-16,5,297,South America,168102,566,Spring,44262,Bohemian,2024
Outerwear,Pink,2024-02-22,2,228,Europe,324900,1425,Winter,43032,Minimalist,2024
Bags,Beige,2024-11-18,11,181,Asia,111496,616,Fall,48191,Formal,2024
Outerwear,Black,2024-07-12,7,82,South America,64124,782,Summer,26573,Formal,2024
Jewelry,Orange,2024-07-17,7,293,Australia,176679,603,Summer,46954,Vintage,2024
Dresses,Red,2024-05-05,5,181,Asia,97740,540,Spring,35602,Grunge,2024
Bags,Orange,2024-05-24,5,288,South America,204192,709,Spring,25813,Minimalist,2024
Accessories,White,2024-01-18,1,363,Australia,47916,132,Winter,20910,Grunge,2024
Accessories,Yellow,2023-11-08,11,79,North America,69915,885,Fall,33641,Athletic,2023
Pants,Purple,2023-07-25,7,335,Australia,55610,166,Summer,31666,Casual,2023
Bags,Brown,2024-08-26,8,272,Australia,52224,192,Summer,8630,Preppy,2024
Accessories,Red,2024-07-11,7,314,Europe,257166,819,Summer,3019,Preppy,2024
Skirts,Navy,2023-10-26,10,326,South America,106928,328,Fall,42808,Formal,2023
Skirts,Blue,2024-05-27,5,231,Australia,113190,490,Spring,1319,Punk,2024
Skirts,Brown,2024-04-28,4,298,Australia,266412,894,Spring,38170,Vintage,2024
Dresses,Black,2024-02-05,2,33,Europe,9933,301,Winter,47553,Grunge,2024
Tops,Black,2023-08-09,8,435,Australia,409335,941,Summer,47195,Athletic,2023
Outerwear,Blue,2024-08-04,8,455,Australia,548275,1205,Summer,14925,Casual,2024
Skirts,Green,2024-04-11,4,472,Europe,158592,336,Spring,45951,Streetwear,2024
Bags,Red,2023-08-13,8,416,South America,132288,318,Summer,12282,Bohemian,2023
Shoes,Pink,2023-10-02,10,387,Australia,296055,765,Fall,27654,Athletic,2023
Skirts,Navy,2024-12-25,12,416,South America,247104,594,Winter,11710,Vintage,2024
Dresses,Pink,2023-12-03,12,36,Europe,24588,683,Winter,17475,Bohemian,2023
Dresses,Red,2023-01-15,1,371,Australia,309043,833,Winter,30840,Vintage,2023
Skirts,Pink,2024-10-22,10,109,South America,58533,537,Fall,22599,Punk,2024
Shoes,Gray,2023-06-14,6,362,Europe,60454,167,Summer,20150,Streetwear,2023
Outerwear,Navy,2023-11-10,11,427,North America,260897,611,Fall,27125,Casual,2023
Accessories,Brown,2024-04-05,4,236,Asia,86612,367,Spring,17465,Streetwear,2024
Pants,White,2024-07-23,7,498,South America,430272,864,Summer,14741,Preppy,2024
Dresses,Purple,2024-06-24,6,421,Asia,85042,202,Summer,11952,Punk,2024
Tops,Gray,2024-08-03,8,237,Asia,49059,207,Summer,5154,Formal,2024
Pants,Red,2024-04-28,4,417,Europe,214755,515,Spring,4583,Athletic,2024
Jewelry,Orange,2023-08-25,8,98,North America,62132,634,Summer,47628,Athletic,2023
Bags,Black,2023-04-12,4,439,Europe,363931,829,Spring,35294,Streetwear,2023
Tops,Purple,2024-05-02,5,196,North America,182868,933,Spring,27601,Minimalist,2024
Dresses,Yellow,2024-11-24,11,480,Europe,285600,595,Fall,49117,Vintage,2024
Jewelry,Gray,2023-11-24,11,317,Europe,353455,1115,Fall,5922,Minimalist,2023
Tops,Brown,2023-04-04,4,84,Asia,19068,227,Spring,6762,Minimalist,2023
Jewelry,Red,2023-06-15,6,439,Australia,516264,1176,Summer,27259,Streetwear,2023
Dresses,Green,2023-08-17,8,489,South America,541323,1107,Summer,25944,Formal,2023
Bags,Red,2023-08-22,8,301,North America,179998,598,Summer,49321,Preppy,2023
Accessories,Navy,2023-08-04,8,246,North America,378348,1538,Summer,23114,Casual,2023
Skirts,Navy,2024-12-27,12,22,Europe,14454,657,Winter,27442,Vintage,2024
Shoes,Beige,2023-02-04,2,143,Asia,57629,403,Winter,48112,Formal,2023
Outerwear,Orange,2023-07-31,7,344,North America,145168,422,Summer,43829,Athletic,2023
Jewelry,Red,2023-12-31,12,289,South America,114155,395,Winter,40752,Punk,2023
Dresses,Black,2024-03-27,3,419,North America,428637,1023,Spring,42673,Bohemian,2024
Shoes,Navy,2024-01-09,1,50,North America,48800,976,Winter,40363,Athletic,2024
Jewelry,Beige,2024-09-18,9,280,Europe,284200,1015,Fall,23085,Streetwear,2024
Jewelry,Blue,2023-12-01,12,124,Europe,116436,939,Winter,26335,Casual,2023
Dresses,Navy,2024-07-11,7,445,Asia,85440,192,Summer,20231,Formal,2024
Skirts,Green,2023-08-03,8,351,Asia,208494,594,Summer,10359,Punk,2023
Bags,Brown,2024-10-25,10,421,Europe,91357,217,Fall,22344,Bohemian,2024
Pants,Orange,2023-02-07,2,255,Asia,61965,243,Winter,48226,Streetwear,2023
Dresses,Red,2024-10-25,10,374,Europe,59466,159,Fall,17616,Streetwear,2024
Jewelry,Red,2024-11-19,11,302,Asia,113250,375,Fall,29380,Grunge,2024
Accessories,Brown,2024-10-17,10,151,South America,26576,176,Fall,48312,Bohemian,2024
Jewelry,Orange,2024-01-22,1,449,Asia,49839,111,Winter,39906,Formal,2024
Jewelry,White,2024-10-15,10,43,Asia,30960,720,Fall,5412,Grunge,2024
Outerwear,Gray,2024-10-06,10,462,South America,193578,419,Fall,16185,Punk,2024
Shoes,Beige,2024-04-03,4,357,South America,113169,317,Spring,35730,Minimalist,2024
Shoes,Gray,2023-09-09,9,450,North America,297000,660,Fall,19941,Formal,2023
Tops,Pink,2024-05-30,5,443,Australia,466479,1053,Spring,49511,Streetwear,2024
Outerwear,Navy,2024-07-16,7,453,Australia,191166,422,Summer,14872,Grunge,2024
Tops,Navy,2024-02-07,2,205,Asia,129560,632,Winter,1740,Bohemian,2024
Tops,Gray,2023-08-01,8,413,Asia,419195,1015,Summer,38911,Vintage,2023
Pants,Brown,2024-01-21,1,39,Australia,15717,403,Winter,10319,Streetwear,2024
Tops,Beige,2024-02-21,2,174,North America,198012,1138,Winter,40952,Streetwear,2024
Bags,Navy,2024-01-01,1,251,North America,110942,442,Winter,40315,Vintage,2024
Outerwear,Gray,2024-07-30,7,293,Europe,175507,599,Summer,41812,Formal,2024
Dresses,White,2024-01-31,1,350,Australia,398300,1138,Winter,8124,Athletic,2024
Pants,Gray,2024-07-11,7,441,South America,220059,499,Summer,26212,Streetwear,2024
Shoes,Brown,2023-07-05,7,424,Australia,527456,1244,Summer,2511,Streetwear,2023
Bags,Green,2024-04-04,4,226,Asia,56500,250,Spring,43078,Casual,2024
Tops,Yellow,2024-07-27,7,99,South America,127512,1288,Summer,20027,Preppy,2024
Accessories,Black,2023-07-03,7,138,North America,25944,188,Summer,42338,Minimalist,2023
Jewelry,Brown,2023-03-17,3,56,Australia,41944,749,Spring,45196,Vintage,2023
Accessories,Red,2024-07-28,7,291,Australia,326793,1123,Summer,34193,Casual,2024
Tops,White,2024-04-08,4,427,North America,349713,819,Spring,26873,Formal,2024
Accessories,Yellow,2024-11-01,11,237,Australia,182964,772,Fall,43694,Minimalist,2024
Outerwear,Brown,2024-10-09,10,317,Europe,245992,776,Fall,24926,Preppy,2024
Accessories,Pink,2023-08-28,8,234,North America,178542,763,Summer,45053,Preppy,2023
Bags,Black,2024-02-04,2,107,Asia,119412,1116,Winter,18535,Formal,2024
Tops,Brown,2024-02-13,2,479,Europe,459361,959,Winter,30113,Athletic,2024
Jewelry,Orange,2023-07-21,7,282,North America,65706,233,Summer,47658,Grunge,2023
Accessories,Green,2024-12-06,12,266,North America,147364,554,Winter,43322,Grunge,2024
Tops,Beige,2024-11-08,11,47,Europe,25333,539,Fall,7361,Grunge,2024
Pants,Red,2024-02-07,2,451,Europe,393272,872,Winter,10502,Athletic,2024
Pants,Red,2023-02-11,2,296,Europe,173160,585,Winter,2942,Vintage,2023
Bags,Green,2023-11-30,11,397,Europe,373974,942,Fall,42614,Casual,2023
Accessories,Yellow,2023-01-28,1,349,South America,262099,751,Winter,20310,Vintage,2023
Accessories,Purple,2023-06-29,6,447,Europe,151980,340,Summer,41123,Grunge,2023
Skirts,Black,2023-09-05,9,259,North America,346542,1338,Fall,23925,Streetwear,2023
Pants,Orange,2023-09-21,9,219,North America,268713,1227,Fall,2898,Minimalist,2023
Bags,Black,2024-03-14,3,199,North America,108256,544,Spring,27069,Vintage,2024
Jewelry,Red,2024-11-20,11,252,Asia,116928,464,Fall,49747,Vintage,2024
Outerwear,Navy,2024-10-10,10,383,Asia,57450,150,Fall,30579,Grunge,2024
Outerwear,Yellow,2023-06-13,6,403,Australia,128154,318,Summer,35263,Grunge,2023
Shoes,Yellow,2023-12-16,12,373,Asia,458417,1229,Winter,19708,Casual,2023
Jewelry,Pink,2023-10-16,10,110,South America,90860,826,Fall,31367,Casual,2023
Jewelry,Blue,2024-07-12,7,173,South America,197566,1142,Summer,11646,Casual,2024
Shoes,Black,2023-12-13,12,318,South America,309414,973,Winter,31648,Formal,2023
Pants,Purple,2023-01-30,1,181,North America,160728,888,Winter,1025,Grunge,2023
Shoes,Brown,2023-11-04,11,340,South America,325720,958,Fall,38697,Athletic,2023
Outerwear,Blue,2023-07-27,7,183,Europe,118401,647,Summer,24962,Punk,2023
Pants,Gray,2023-01-01,1,299,Asia,139334,466,Winter,31330,Bohemian,2023
Dresses,Brown,2023-07-01,7,165,Asia,55935,339,Summer,21345,Preppy,2023
Dresses,Red,2024-02-06,2,148,Australia,140008,946,Winter,12080,Vintage,2024
Bags,Pink,2023-01-26,1,335,Australia,266995,797,Winter,26822,Vintage,2023
Bags,Blue,2023-05-13,5,389,Europe,190999,491,Spring,1025,Preppy,2023
Jewelry,Purple,2024-07-11,7,329,Asia,80605,245,Summer,44838,Bohemian,2024
Pants,Green,2024-11-16,11,107,North America,42265,395,Fall,18407,Minimalist,2024
Bags,Purple,2024-08-18,8,35,Australia,4690,134,Summer,14655,Grunge,2024
Bags,Purple,2024-11-03,11,35,Asia,18760,536,Fall,12062,Grunge,2024
Jewelry,Brown,2023-04-29,4,266,Australia,204022,767,Spring,28315,Formal,2023
Tops,Orange,2023-12-03,12,164,South America,68388,417,Winter,26638,Casual,2023
Tops,White,2023-12-06,12,327,Asia,171675,525,Winter,1368,Minimalist,2023
Bags,Navy,2024-07-12,7,266,South America,214396,806,Summer,7643,Punk,2024
Tops,White,2024-07-30,7,472,Australia,283672,601,Summer,43893,Formal,2024
Bags,Red,2023-07-07,7,469,North America,159460,340,Summer,35089,Grunge,2023
Pants,Green,2023-04-14,4,387,Asia,75465,195,Spring,21479,Bohemian,2023
Pants,Brown,2023-03-28,3,293,North America,145328,496,Spring,40934,Streetwear,2023
Outerwear,Pink,2023-10-13,10,25,Australia,20675,827,Fall,33751,Bohemian,2023
Jewelry,Brown,2024-02-09,2,165,Australia,144705,877,Winter,47865,Vintage,2024
Outerwear,Green,2023-07-07,7,357,South America,64617,181,Summer,2068,Bohemian,2023
Bags,Yellow,2024-05-16,5,226,North America,155262,687,Spring,44061,Punk,2024
Jewelry,Green,2023-06-03,6,352,Europe,187264,532,Summer,22809,Formal,2023
Pants,Blue,2023-06-23,6,313,Australia,246957,789,Summer,36912,Bohemian,2023
Outerwear,Green,2024-03-29,3,88,Australia,53504,608,Spring,23541,Athletic,2024
Jewelry,Pink,2023-11-20,11,392,South America,97216,248,Fall,28769,Minimalist,2023
Pants,Gray,2023-11-27,11,390,South America,363480,932,Fall,26198,Punk,2023
Tops,Pink,2024-07-14,7,203,Asia,118755,585,Summer,43414,Formal,2024
Jewelry,Blue,2023-08-28,8,45,South America,10665,237,Summer,33626,Casual,2023
Tops,Green,2024-09-27,9,168,Australia,158592,944,Fall,45626,Preppy,2024
Shoes,Pink,2023-09-18,9,384,South America,332928,867,Fall,45557,Vintage,2023
Outerwear,Green,2023-03-11,3,138,Europe,24288,176,Spring,1085,Preppy,2023
Jewelry,Yellow,2024-02-06,2,25,North America,4525,181,Winter,19778,Preppy,2024
Skirts,Brown,2024-05-04,5,161,North America,78407,487,Spring,22674,Athletic,2024
Outerwear,Orange,2024-10-05,10,271,North America,85094,314,Fall,11897,Streetwear,2024
Dresses,Yellow,2024-12-02,12,58,Australia,17284,298,Winter,4429,Athletic,2024
Outerwear,Green,2023-04-02,4,464,Europe,217616,469,Spring,49566,Minimalist,2023
Jewelry,Brown,2024-06-29,6,310,North America,154070,497,Summer,23303,Formal,2024
Tops,Yellow,2024-09-04,9,61,North America,37271,611,Fall,14312,Streetwear,2024
Tops,Purple,2024-07-03,7,29,Europe,29725,1025,Summer,2110,Minimalist,2024
Skirts,Beige,2023-08-01,8,326,South America,374574,1149,Summer,18748,Casual,2023
Pants,Gray,2023-09-04,9,105,Asia,88725,845,Fall,29155,Formal,2023
Accessories,Purple,2023-10-07,10,28,Europe,8288,296,Fall,46617,Grunge,2023
Shoes,Pink,2024-03-06,3,160,North America,21600,135,Spring,38966,Grunge,2024
Jewelry,Black,2024-04-01,4,27,Australia,20250,750,Spring,3943,Streetwear,2024
Bags,White,2023-12-02,12,399,Europe,306831,769,Winter,17433,Preppy,2023
Tops,Purple,2023-02-12,2,350,North America,49350,141,Winter,21280,Bohemian,2023
Jewelry,Red,2023-04-19,4,366,Australia,129564,354,Spring,45525,Athletic,2023
Shoes,Black,2024-06-03,6,283,Europe,417425,1475,Summer,42542,Minimalist,2024
Shoes,Purple,2024-11-05,11,144,Asia,52272,363,Fall,22947,Punk,2024
Shoes,Blue,2024-03-29,3,408,Europe,437376,1072,Spring,40643,Minimalist,2024
Dresses,Yellow,2024-11-07,11,400,North America,324400,811,Fall,46564,Grunge,2024
Skirts,Yellow,2023-05-01,5,168,Asia,84672,504,Spring,29485,Preppy,2023
Accessories,Purple,2023-02-13,2,498,Asia,102588,206,Winter,12334,Minimalist,2023
Accessories,Black,2023-09-16,9,71,Australia,50907,717,Fall,24759,Punk,2023
Dresses,Yellow,2023-02-16,2,461,Asia,460078,998,Winter,15865,Casual,2023
Shoes,Pink,2023-05-04,5,367,Europe,245156,668,Spring,5880,Casual,2023
Jewelry,Purple,2024-11-22,11,378,Asia,297108,786,Fall,46466,Athletic,2024
Dresses,Black,2024-12-16,12,462,Australia,180180,390,Winter,24090,Bohemian,2024
Accessories,Green,2023-12-15,12,230,South America,151800,660,Winter,11955,Minimalist,2023
Outerwear,Purple,2024-04-10,4,179,Asia,50120,280,Spring,13309,Minimalist,2024
Accessories,Blue,2024-01-24,1,468,South America,181584,388,Winter,38637,Casual,2024
Outerwear,Blue,2023-10-15,10,178,Asia,48416,272,Fall,9027,Formal,2023
Bags,Orange,2024-03-21,3,277,South America,234342,846,Spring,38851,Minimalist,2024
Shoes,Gray,2023-10-18,10,426,North America,155064,364,Fall,36658,Punk,2023
Outerwear,Blue,2024-07-27,7,489,South America,206847,423,Summer,9258,Vintage,2024
Pants,Blue,2024-03-17,3,193,Europe,149961,777,Spring,45514,Streetwear,2024
Bags,Yellow,2023-03-18,3,37,South America,29933,809,Spring,48692,Bohemian,2023
Skirts,Navy,2024-11-24,11,488,South America,688080,1410,Fall,4944,Casual,2024
Bags,Green,2023-10-09,10,422,Europe,100858,239,Fall,20902,Grunge,2023
Outerwear,Pink,2024-10-01,10,169,North America,168831,999,Fall,38626,Casual,2024
Pants,Yellow,2023-08-28,8,427,South America,114009,267,Summer,19444,Formal,2023
Shoes,Yellow,2024-08-28,8,21,Europe,19026,906,Summer,7354,Preppy,2024
